TABLE_SCHEMA	TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	NUMERIC_PRECISION	NUMERIC_SCALE	IS_NULLABLE	COLUMN_DEFAULT
dbo	tbExpenseDetailsHistory	7	ExpenseType	varchar	10	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	8	ExpenseCategory	varchar	25	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	9	ExpenseAmount	float	NULL	53	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	10	ExpenseRemarks	varchar	-1	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	11	ExpenseStatus	varchar	5	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	12	UserID	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetailsHistory	13	ExpenseTotalAmount	float	NULL	53	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	14	ExpenseLocation	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	15	ReportID	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	16	WorkWith	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	17	ServiceNumber	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	18	Instrument	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	19	SerialNumber	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	20	Sort	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetailsHistory	21	EditedByUserID	bigint	NULL	19	0	YES	NULL
dbo	tbExpenseDetailsHistory	22	DateCreated	datetime	NULL	NULL	NULL	YES	(getdate())
dbo	tbExpenseDetailsHistory	23	MDays	varchar	10	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	24	Computation	varchar	255	NULL	NULL	YES	NULL
dbo	tbExpenseDetailsHistory	25	TotDays	varchar	10	NULL	NULL	YES	NULL
dbo	tbExpenseMealItem	1	id	int	NULL	10	0	NO	NULL
dbo	tbExpenseMealItem	2	Meal	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseMealItem	3	PaidFor	varchar	1	NULL	NULL	YES	NULL
dbo	tbExpenseMealItem	4	PaidEmp	varchar	100	NULL	NULL	YES	NULL
dbo	tbExpenseMealItem	5	ExpenseID	bigint	NULL	19	0	YES	NULL
dbo	tbExpenseTransportationItem	1	id	int	NULL	10	0	NO	NULL
dbo	tbExpenseTransportationItem	2	expense_id	bigint	NULL	19	0	YES	NULL
dbo	tbExpenseTransportationItem	3	FareID	varchar	1	NULL	NULL	YES	NULL
dbo	tbExpenseTransportationItem	4	FareFrom	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseTransportationItem	5	FareTo	varchar	50	NULL	NULL	YES	NULL
dbo	tbFare	1	id	int	NULL	10	0	NO	NULL
dbo	tbFare	2	SortID	bigint	NULL	19	0	YES	NULL
dbo	tbFare	3	FareName	varchar	25	NULL	NULL	YES	NULL
dbo	tblClient	1	ID	int	NULL	10	0	NO	NULL
dbo	tblClient	2	clientName	nvarchar	-1	NULL	NULL	YES	NULL
dbo	tblClient1	1	ID	int	NULL	10	0	NO	NULL
dbo	tblClient1	2	clientName	nvarchar	-1	NULL	NULL	YES	NULL
dbo	tblClient1	3	clientCode	nvarchar	50	NULL	NULL	NO	NULL
dbo	tblClientInstrument	1	ID	int	NULL	10	0	NO	NULL
dbo	tblClientInstrument	2	ItemDescription	varchar	225	NULL	NULL	YES	NULL
dbo	tblClientInstrument	3	SerialNumber	varchar	30	NULL	NULL	YES	NULL
dbo	tblClientInstrument	4	Location	varchar	-1	NULL	NULL	YES	NULL
